Price,Open,High,Low,Close,Volume,SMA_200,SMA_50,EMA_20,BullBear,High-Low,High-Close,Low-Close,True_Range,ATR_14,Daily_Return,Direction,Money_Flow_Volume,CMF,Momentum_5,Volatility_20,RSI
2018-01-02,239.16338304697123,240.0295299132906,238.77048999935153,239.99380493164065,86655700.0,,,239.99380493164065,-1,1.2590399139390627,,,1.2590399139390627,,,0,81738027.00474644,,,,0.0
2018-01-03,240.16341082611956,241.6635599680099,240.16341082611956,241.51174926757812,90070400.0,,,240.1383710588728,-1,1.500149141890347,1.6697550363692528,0.16960589447890584,1.6697550363692528,,0.006324931330497607,1,71840678.52718635,,,,0.0
2018-01-04,242.16363002593263,243.02083874677197,241.57429051467628,242.5297088623047,80636400.0,,,240.36611751634248,-1,1.4465482320956937,1.5090894791938467,0.06254124709815301,1.5090894791938467,,0.004214948538999286,1,25881301.01725435,,,,0.0
2018-01-05,243.33340777615732,244.27097740160409,242.83336700922865,244.14598083496097,83524000.0,,,240.72610449906804,-1,1.4376103923754329,1.7412685392993978,0.303658146923965,1.7412685392993978,,0.006664222623439242,1,68999601.33444913,,,,0.0
2018-01-08,244.0477491825088,244.75317455642625,243.7530930010985,244.5924530029297,57319200.0,,,241.09432816610249,-1,1.0000815553277391,0.6071937214652792,0.39288783386245996,1.0000815553277391,,0.0018287098826768045,1,38895840.78473909,,,,0.0
2018-01-09,245.0210638167717,245.78006310382236,244.7353184204404,245.1460876464844,57254000.0,,,241.48021002137696,-1,1.044744683381964,1.1876101008926696,0.14286541751070558,1.1876101008926696,,0.0022634984716722872,1,-12232126.920363758,,5.15228271484375,,0.0
2018-01-10,244.37811829658176,245.0389078453339,243.6995071318915,244.77101135253903,69574300.0,,,241.79361967196382,-1,1.3394007134424157,0.10717980115049386,1.4465805145929096,1.4465805145929096,,-0.001530011339549664,0,41742881.4086886,,3.259262084960909,,93.21418613574845
2018-01-11,245.3335242293792,246.5568389892578,245.163864653174,246.5568389892578,62361500.0,,,242.2472596069442,-1,1.3929743360838245,1.7858276367187784,0.39285330063495394,1.7858276367187784,,0.007295911500511343,1,62361500.0,,4.027130126953125,,94.87123312823202
2018-01-12,246.8247382822664,248.333771121932,246.5211168528001,248.1641387939453,90816100.0,,,242.8107719104681,-1,1.8126542691318832,1.776932132674176,0.035722136457707165,1.8126542691318832,,0.006518982849052168,1,73818543.73787981,,4.018157958984347,,95.79533811256276
2018-01-16,249.44102818666047,250.10179038776164,246.6104164397376,247.3158416748047,106555100.0,,,243.23982617373827,-1,3.491373948024034,1.9376515938163266,1.5537223542077072,3.491373948024034,,-0.00341829050427378,0,-63496603.497419685,,2.723388671875,,87.47670675265921
2018-01-17,248.2623942971572,250.0661108428175,247.31588660733584,249.6732177734375,113258800.0,,,243.8525301356144,-1,2.750224235481653,2.7502691680128066,4.4932531153563104e-05,2.7502691680128066,,0.009531844311584825,1,80898822.22640458,,4.527130126953097,,89.9112872782178
