Date;Open;High;Low;Close;Volume
2018-01-02;239.16338304697123;240.0295299132906;238.77048999935153;239.99380493164062;86655700
2018-01-03;240.16353221492446;241.66368211505403;240.16353221492446;241.51187133789062;90070400
2018-01-04;242.16363002593266;243.02083874677197;241.57429051467628;242.5297088623047;80636400
2018-01-05;243.33337736014857;244.27094686840172;242.83333665572363;244.1459503173828;83524000
2018-01-08;244.04771873289292;244.753144018795;243.7530625882466;244.59242248535156;57319200
2018-01-09;245.02104856576454;245.78004780557234;244.73530318721916;245.1460723876953;57254000
2018-01-10;244.37808782798876;245.03887729435496;243.6994767479064;244.77098083496094;69574300
2018-01-11;245.33361532786614;246.5569305419922;245.16395568866207;246.5569305419922;62361500
2018-01-12;246.82470792939887;248.3337405834936;246.52108653726995;248.1641082763672;90816100
2018-01-16;249.44101279675255;250.10177495708632;246.6104012244716;247.31582641601562;106555100
2018-01-17;248.26242464229023;250.06614140841896;247.31591683677715;249.67324829101562;113258800
2018-01-18;249.55707313452405;249.9856637894344;248.7534111562295;249.25347900390625;100728000
2018-01-19;249.84286944732077;250.3875732421875;249.25355711214704;250.3875732421875;140920100
2018-01-22;250.17321802307504;252.42340087890625;250.11961693706328;252.42340087890625;91322400
2018-01-23;252.4680833372619;253.25386940843967;252.13770220510216;252.95921325683594;97084700
2018-01-24;253.6110382658463;254.21825393651667;251.6644491971093;252.86097717285156;134816100
2018-01-25;253.73604629151336;253.83425591952502;252.16447424193257;252.96810913085938;84587300
2018-01-26;253.8163882213516;255.94157465338202;253.55742983463074;255.89691162109375;107743100
2018-01-29;255.31657627903598;255.76304321643164;254.03968737812744;254.20040893554688;90118300
2018-01-30;252.3430939488426;254.25395808514654;251.11084096132547;251.59303283691406;131796400
2018-01-31;252.4592137586434;252.96816537634805;250.62868289612197;251.7180633544922;108364800
2018-02-01;250.97687333467582;252.75380261910803;250.62861612306003;251.4322509765625;90102500
2018-02-02;250.09283208853986;250.22679392942146;245.9228474134488;245.9585723876953;173174800
2018-02-05;244.17274377337543;246.3157793140002;235.11838250775344;235.6719970703125;294681800
2018-02-06;232.10916911353297;240.8242100305224;231.00194013643642;240.3152313232422;355026800
2018-02-07;239.75275033858696;243.19946208645948;238.93123916671453;239.01162719726562;167376100
2018-02-08;239.31522825993093;239.4581009569381;230.01084483742179;230.04656982421875;246449500
2018-02-09;232.87714790056742;235.386289954563;225.8408381037074;233.50221252441406;283565300
2018-02-12;235.58272197850303;238.42227228731971;233.64507081434542;236.93106079101562;143736000
2018-02-13;235.70768582977223;238.07395444330726;235.1183463778816;237.5203399658203;81223600
2018-02-14;236.01130898065358;241.09210401944776;236.00237092341183;240.7259979248047;120735700
2018-02-15;242.49399298434827;243.80660651340634;239.9937624646238;243.79766845703125;111200300
2018-02-16;243.1637273180991;245.84252858989026;243.1190642801305;243.86912536621094;160420100
2018-02-20;242.90474617800072;244.36917048302053;241.53855874718255;242.34219360351562;86369700
2018-02-21;242.78871288846986;245.30679293242818;241.03857013991217;241.13677978515625;98883700
2018-02-22;242.07440550141072;243.81561039844328;240.77072953103755;241.4493408203125;110511300
2018-02-23;242.69042448422528;245.2977752685547;242.2082327226744;245.2977752685547;92766400
2018-02-26;246.38719026605585;248.24450762942837;245.78893994480993;248.14627075195312;86491400
2018-02-27;248.33376456371948;249.05706589108385;244.9852633729523;245.0477752685547;99099200
2018-02-28;246.1639823125314;246.6193872684949;242.2440171186405;242.56546020507812;121907800
2018-03-01;242.35116790830077;243.9227401291989;237.5203927408067;239.03839111328125;176855100
2018-03-02;237.34182299914292;240.84213592558396;236.466765205168;240.27064514160156;139083200
2018-03-05;239.06516107158865;243.67270246027203;238.95798613217016;243.04763793945312;97307400
2018-03-06;244.0388200724959;244.1192081023705;242.14580459475718;243.66380310058594;79213200
2018-03-07;241.46713723151896;243.93161565305553;241.2706907323222;243.57444763183594;87063500
2018-03-08;244.26208954484187;244.8782161968251;243.25309699539548;244.7532196044922;66901200
2018-03-09;246.18183603884174;249.01242065429688;245.8603657314643;249.01242065429688;113625300
2018-03-12;249.30713636915624;249.94111175874485;248.30702758887293;248.69992065429688;71924800
2018-03-13;249.87853884290263;250.38751754205026;246.47646395941493;247.09259033203125;91968900
2018-03-14;248.06597997945062;248.25348848004114;245.26218152947848;245.82470703125;105895100
2018-03-15;246.34260992643507;246.99443423658607;245.04784486487506;245.55682373046875;83433000
2018-03-16;246.09197059405545;246.88987754739446;245.76924015853265;245.82302856445312;100343700
2018-03-19;245.0610269815158;246.0023515877627;240.8205246070455;242.4969940185547;109208400
2018-03-20;242.9004499720959;243.554912197924;242.2190935374977;242.909423828125;59757300
2018-03-21;242.86452174998084;244.9892457944763;242.22800739387492;242.4431610107422;78709600
2018-03-22;240.18403729423798;241.04467937664202;236.10489970082372;236.38284301757812;148785900
2018-03-23;236.8310237221724;237.16272799563907;231.14712708635125;231.3443603515625;183534800
2018-03-26;235.00219972833415;237.96067215033332;232.5636911325145;237.6737823486328;141956100
2018-03-27;238.62409120884507;239.1619753495043;232.05265724419917;233.63052368164062;129941400
2018-03-28;233.76495617450988;235.45937301616345;231.8195176554977;232.94015502929688;146452300
2018-03-29;234.09674186063586;237.808307265727;232.94920988521392;235.91665649414062;111601600
2018-04-02;235.3786756062455;235.89866669664337;228.31418652709854;230.8244171142578;186286300
2018-04-03;232.0795647520181;234.26705158045132;230.2596503469783;233.78292846679688;119956900
2018-04-04;230.17891888502692;237.00134615261618;230.04444787068562;236.28414916992188;123715300
2018-04-05;238.06818529908946;239.04540513466722;236.96549566772362;238.14889526367188;82652600
2018-04-06;236.1586812663052;237.6737580279948;231.29958492474887;232.84158325195312;179521200
2018-04-09;234.32079425992953;237.43168478794718;233.03879163593012;233.9890899658203;105442900
2018-04-10;236.92067684451118;238.50751698075555;235.76419869694135;237.70960998535156;103529000
2018-04-11;236.20350539987794;238.14894425827114;236.131796633542;236.4635009765625;91140200
2018-04-12;237.80824341178624;239.36816200470187;237.62893047405;238.4088897705078;68890500
